doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C71120001385,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C71120001374,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C711200011BB,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C7112000154F,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C71120001518,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C71120001450,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C71120001373,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C71120001159,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C7112000114B,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C7112000113E,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,15,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000015,00B07A14F039C71120001117,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C7112000153E,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C7112000151F,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C7112000117D,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C71120001177,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C7112000114D,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C71120001145,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C71120001142,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,19,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000019,00B07A14F039C7112000112E,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C71120001579,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C711200014F6,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C711200013B9,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C7112000139A,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C711200012B5,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C7112000125A,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C71120001234,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,10,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000010,00B07A14F039C711200011A7,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D12000096D,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D12000095B,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D120000937,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D120000905,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D1200008C2,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D1200008B1,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D1200008AE,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,5,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000005,00B07A14F039C6D12000080E,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D1200009EC,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D1200009B4,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D120000967,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D12000095A,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D1200008F6,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D12000084B,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D120000821,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,7,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000007,00B07A14F039C6D120000817,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-004-000,16,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000016,00B07A14F039C71120001556,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,16,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000016,00B07A14F039C7112000133F,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,16,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000016,00B07A14F039C7112000117F,s,s,s,2000188591640
